"Time (UTC),""Belgium (BE) > Germany (DE) Day Ahead [MW]"",""Belgium (BE) > Germany (DE) Total [MW]"",""Germany (DE) > Belgium (BE) Day Ahead [MW]"",""Germany (DE) > Belgium (BE) Total [MW]"""
"24.06.2021 17:30 - 24.06.2021 17:45,""1000"",""1000"",""0"",""0"""
"24.06.2021 17:45 - 24.06.2021 18:00,""1000"",""1000"",""0"",""0"""
"24.06.2021 18:00 - 24.06.2021 18:15,""1000"",""1000"",""0"",""0"""
"24.06.2021 18:15 - 24.06.2021 18:30,""1000"",""1000"",""0"",""0"""
"24.06.2021 18:30 - 24.06.2021 18:45,""1000"",""1000"",""0"",""0"""
"24.06.2021 18:45 - 24.06.2021 19:00,""1000"",""1000"",""0"",""0"""
"24.06.2021 19:00 - 24.06.2021 19:15,""1000"",""1000"",""0"",""0"""
"24.06.2021 19:15 - 24.06.2021 19:30,""1000"",""1000"",""0"",""0"""
"24.06.2021 19:30 - 24.06.2021 19:45,""1000"",""1000"",""0"",""0"""
"24.06.2021 19:45 - 24.06.2021 20:00,""1000"",""1004"",""0"",""4"""
"24.06.2021 20:00 - 24.06.2021 20:15,""1000"",""1011"",""0"",""11"""
"24.06.2021 20:15 - 24.06.2021 20:30,""1000"",""1011"",""0"",""11"""
"24.06.2021 20:30 - 24.06.2021 20:45,""1000"",""1022"",""0"",""22"""
"24.06.2021 20:45 - 24.06.2021 21:00,""1000"",""1003"",""0"",""3"""
"24.06.2021 21:00 - 24.06.2021 21:15,""0"",""653"",""231"",""583"""
"24.06.2021 21:15 - 24.06.2021 21:30,""0"",""653"",""231"",""470"""
"24.06.2021 21:30 - 24.06.2021 21:45,""0"",""620"",""231"",""434"""
"24.06.2021 21:45 - 24.06.2021 22:00,""0"",""633"",""231"",""422"""
"24.06.2021 22:00 - 24.06.2021 22:15,""0"",""0"",""4"",""51"""
"24.06.2021 22:15 - 24.06.2021 22:30,""0"",""0"",""4"",""68"""
"24.06.2021 22:30 - 24.06.2021 22:45,""0"",""0"",""4"",""50"""
"24.06.2021 22:45 - 24.06.2021 23:00,""0"",""0"",""4"",""48"""
"24.06.2021 23:00 - 24.06.2021 23:15,""201"",""328"",""0"",""72"""
"24.06.2021 23:15 - 24.06.2021 23:30,""201"",""328"",""0"",""70"""
"24.06.2021 23:30 - 24.06.2021 23:45,""201"",""337"",""0"",""61"""
"24.06.2021 23:45 - 25.06.2021 00:00,""201"",""372"",""0"",""49"""
"25.06.2021 00:00 - 25.06.2021 00:15,""344"",""510"",""0"",""5"""
"25.06.2021 00:15 - 25.06.2021 00:30,""344"",""518"",""0"",""5"""
"25.06.2021 00:30 - 25.06.2021 00:45,""344"",""529"",""0"",""5"""
"25.06.2021 00:45 - 25.06.2021 01:00,""344"",""544"",""0"",""5"""
"25.06.2021 01:00 - 25.06.2021 01:15,""1000"",""1000"",""0"",""50"""
"25.06.2021 01:15 - 25.06.2021 01:30,""1000"",""1005"",""0"",""17"""
"25.06.2021 01:30 - 25.06.2021 01:45,""1000"",""1005"",""0"",""15"""
"25.06.2021 01:45 - 25.06.2021 02:00,""1000"",""1006"",""0"",""8"""
"25.06.2021 02:00 - 25.06.2021 02:15,""1000"",""1046"",""0"",""120"""
"25.06.2021 02:15 - 25.06.2021 02:30,""1000"",""1043"",""0"",""106"""
"25.06.2021 02:30 - 25.06.2021 02:45,""1000"",""1051"",""0"",""108"""
"25.06.2021 02:45 - 25.06.2021 03:00,""1000"",""1048"",""0"",""102"""
"25.06.2021 03:00 - 25.06.2021 03:15,""935"",""943"",""0"",""6"""
"25.06.2021 03:15 - 25.06.2021 03:30,""935"",""938"",""0"",""2"""
"25.06.2021 03:30 - 25.06.2021 03:45,""935"",""950"",""0"",""13"""
"25.06.2021 03:45 - 25.06.2021 04:00,""935"",""957"",""0"",""24"""
"25.06.2021 04:00 - 25.06.2021 04:15,""800"",""800"",""0"",""0"""
"25.06.2021 04:15 - 25.06.2021 04:30,""800"",""800"",""0"",""2"""
"25.06.2021 04:30 - 25.06.2021 04:45,""800"",""800"",""0"",""1"""
"25.06.2021 04:45 - 25.06.2021 05:00,""800"",""806"",""0"",""8"""
"25.06.2021 05:00 - 25.06.2021 05:15,""544"",""552"",""0"",""9"""
"25.06.2021 05:15 - 25.06.2021 05:30,""544"",""544"",""0"",""33"""
"25.06.2021 05:30 - 25.06.2021 05:45,""544"",""544"",""0"",""18"""
"25.06.2021 05:45 - 25.06.2021 06:00,""544"",""544"",""0"",""11"""
"25.06.2021 06:00 - 25.06.2021 06:15,""871"",""871"",""0"",""17"""
"25.06.2021 06:15 - 25.06.2021 06:30,""871"",""871"",""0"",""6"""
"25.06.2021 06:30 - 25.06.2021 06:45,""871"",""874"",""0"",""3"""
"25.06.2021 06:45 - 25.06.2021 07:00,""871"",""872"",""0"",""7"""
"25.06.2021 07:00 - 25.06.2021 07:15,""413"",""463"",""0"",""65"""
"25.06.2021 07:15 - 25.06.2021 07:30,""413"",""475"",""0"",""62"""
"25.06.2021 07:30 - 25.06.2021 07:45,""413"",""430"",""0"",""52"""
"25.06.2021 07:45 - 25.06.2021 08:00,""413"",""430"",""0"",""44"""
"25.06.2021 08:00 - 25.06.2021 08:15,""944"",""975"",""0"",""453"""
"25.06.2021 08:15 - 25.06.2021 08:30,""944"",""972"",""0"",""380"""
"25.06.2021 08:30 - 25.06.2021 08:45,""944"",""991"",""0"",""349"""
"25.06.2021 08:45 - 25.06.2021 09:00,""944"",""1003"",""0"",""329"""
"25.06.2021 09:00 - 25.06.2021 09:15,""577"",""584"",""0"",""298"""
"25.06.2021 09:15 - 25.06.2021 09:30,""577"",""581"",""0"",""263"""
"25.06.2021 09:30 - 25.06.2021 09:45,""577"",""585"",""0"",""241"""
"25.06.2021 09:45 - 25.06.2021 10:00,""577"",""584"",""0"",""231"""
"25.06.2021 10:00 - 25.06.2021 10:15,""442"",""507"",""0"",""218"""
"25.06.2021 10:15 - 25.06.2021 10:30,""442"",""544"",""0"",""207"""
"25.06.2021 10:30 - 25.06.2021 10:45,""442"",""549"",""0"",""209"""
"25.06.2021 10:45 - 25.06.2021 11:00,""442"",""538"",""0"",""196"""
"25.06.2021 11:00 - 25.06.2021 11:15,""343"",""448"",""0"",""574"""
"25.06.2021 11:15 - 25.06.2021 11:30,""343"",""451"",""0"",""591"""
"25.06.2021 11:30 - 25.06.2021 11:45,""343"",""447"",""0"",""587"""
"25.06.2021 11:45 - 25.06.2021 12:00,""343"",""448"",""0"",""616"""
"25.06.2021 12:00 - 25.06.2021 12:15,""331"",""464"",""0"",""650"""
"25.06.2021 12:15 - 25.06.2021 12:30,""331"",""453"",""0"",""641"""
"25.06.2021 12:30 - 25.06.2021 12:45,""331"",""453"",""0"",""651"""
"25.06.2021 12:45 - 25.06.2021 13:00,""331"",""451"",""0"",""654"""
"25.06.2021 13:00 - 25.06.2021 13:15,""366"",""476"",""0"",""126"""
"25.06.2021 13:15 - 25.06.2021 13:30,""366"",""487"",""0"",""173"""
"25.06.2021 13:30 - 25.06.2021 13:45,""366"",""470"",""0"",""206"""
"25.06.2021 13:45 - 25.06.2021 14:00,""366"",""474"",""0"",""227"""
"25.06.2021 14:00 - 25.06.2021 14:15,""398"",""462"",""0"",""277"""
"25.06.2021 14:15 - 25.06.2021 14:30,""398"",""463"",""0"",""304"""
"25.06.2021 14:30 - 25.06.2021 14:45,""398"",""457"",""0"",""340"""
"25.06.2021 14:45 - 25.06.2021 15:00,""398"",""440"",""0"",""340"""
"25.06.2021 15:00 - 25.06.2021 15:15,""992"",""1008"",""0"",""33"""
"25.06.2021 15:15 - 25.06.2021 15:30,""992"",""1008"",""0"",""119"""
"25.06.2021 15:30 - 25.06.2021 15:45,""992"",""1023"",""0"",""173"""
"25.06.2021 15:45 - 25.06.2021 16:00,""992"",""1020"",""0"",""173"""
"25.06.2021 16:00 - 25.06.2021 16:15,""902"",""902"",""0"",""0"""
"25.06.2021 16:15 - 25.06.2021 16:30,""902"",""902"",""0"",""0"""
"25.06.2021 16:30 - 25.06.2021 16:45,""902"",""902"",""0"",""0"""
"25.06.2021 16:45 - 25.06.2021 17:00,""902"",""902"",""0"",""0"""
"25.06.2021 17:00 - 25.06.2021 17:15,""856"",""856"",""0"",""0"""
"25.06.2021 17:15 - 25.06.2021 17:30,""856"",""856"",""0"",""0"""
"25.06.2021 17:30 - 25.06.2021 17:45,""856"",""856"",""0"",""0"""
"25.06.2021 17:45 - 25.06.2021 18:00,""856"",""856"",""0"",""0"""
"25.06.2021 18:00 - 25.06.2021 18:15,""825"",""825"",""0"",""0"""
"25.06.2021 18:15 - 25.06.2021 18:30,""825"",""825"",""0"",""0"""
"25.06.2021 18:30 - 25.06.2021 18:45,""825"",""825"",""0"",""0"""
"25.06.2021 18:45 - 25.06.2021 19:00,""825"",""825"",""0"",""0"""
"25.06.2021 19:00 - 25.06.2021 19:15,""718"",""718"",""0"",""0"""
"25.06.2021 19:15 - 25.06.2021 19:30,""718"",""718"",""0"",""0"""
"25.06.2021 19:30 - 25.06.2021 19:45,""718"",""718"",""0"",""0"""
"25.06.2021 19:45 - 25.06.2021 20:00,""718"",""718"",""0"",""0"""
"25.06.2021 20:00 - 25.06.2021 20:15,""679"",""691"",""0"",""16"""
"25.06.2021 20:15 - 25.06.2021 20:30,""679"",""696"",""0"",""22"""
"25.06.2021 20:30 - 25.06.2021 20:45,""679"",""698"",""0"",""29"""
"25.06.2021 20:45 - 25.06.2021 21:00,""679"",""698"",""0"",""20"""
"25.06.2021 21:00 - 25.06.2021 21:15,""0"",""287"",""149"",""248"""
"25.06.2021 21:15 - 25.06.2021 21:30,""0"",""316"",""149"",""165"""
"25.06.2021 21:30 - 25.06.2021 21:45,""0"",""355"",""149"",""156"""
"25.06.2021 21:45 - 25.06.2021 22:00,""0"",""405"",""149"",""154"""
"25.06.2021 22:00 - 25.06.2021 22:15,""163"",""427"",""0"",""0"""
"25.06.2021 22:15 - 25.06.2021 22:30,""163"",""410"",""0"",""0"""
"25.06.2021 22:30 - 25.06.2021 22:45,""163"",""415"",""0"",""3"""
"25.06.2021 22:45 - 25.06.2021 23:00,""163"",""488"",""0"",""3"""
"25.06.2021 23:00 - 25.06.2021 23:15,""137"",""315"",""0"",""4"""
"25.06.2021 23:15 - 25.06.2021 23:30,""137"",""307"",""0"",""4"""
"25.06.2021 23:30 - 25.06.2021 23:45,""137"",""315"",""0"",""4"""
"25.06.2021 23:45 - 26.06.2021 00:00,""137"",""360"",""0"",""4"""
"26.06.2021 00:00 - 26.06.2021 00:15,""844"",""844"",""0"",""0"""
"26.06.2021 00:15 - 26.06.2021 00:30,""844"",""844"",""0"",""0"""
"26.06.2021 00:30 - 26.06.2021 00:45,""844"",""844"",""0"",""0"""
"26.06.2021 00:45 - 26.06.2021 01:00,""844"",""844"",""0"",""0"""
"26.06.2021 01:00 - 26.06.2021 01:15,""1000"",""1000"",""0"",""0"""
"26.06.2021 01:15 - 26.06.2021 01:30,""1000"",""1000"",""0"",""0"""
"26.06.2021 01:30 - 26.06.2021 01:45,""1000"",""1000"",""0"",""0"""
"26.06.2021 01:45 - 26.06.2021 02:00,""1000"",""1000"",""0"",""0"""
"26.06.2021 02:00 - 26.06.2021 02:15,""1000"",""1000"",""0"",""2"""
"26.06.2021 02:15 - 26.06.2021 02:30,""1000"",""1000"",""0"",""2"""
"26.06.2021 02:30 - 26.06.2021 02:45,""1000"",""1000"",""0"",""0"""
"26.06.2021 02:45 - 26.06.2021 03:00,""1000"",""1000"",""0"",""0"""
"26.06.2021 03:00 - 26.06.2021 03:15,""1000"",""1000"",""0"",""1"""
"26.06.2021 03:15 - 26.06.2021 03:30,""1000"",""1001"",""0"",""1"""
"26.06.2021 03:30 - 26.06.2021 03:45,""1000"",""1000"",""0"",""0"""
"26.06.2021 03:45 - 26.06.2021 04:00,""1000"",""1000"",""0"",""0"""
"26.06.2021 04:00 - 26.06.2021 04:15,""1000"",""1000"",""0"",""0"""
"26.06.2021 04:15 - 26.06.2021 04:30,""1000"",""1000"",""0"",""0"""
"26.06.2021 04:30 - 26.06.2021 04:45,""1000"",""1000"",""0"",""10"""
"26.06.2021 04:45 - 26.06.2021 05:00,""1000"",""1000"",""0"",""10"""
"26.06.2021 05:00 - 26.06.2021 05:15,""1000"",""1000"",""0"",""0"""
"26.06.2021 05:15 - 26.06.2021 05:30,""1000"",""1000"",""0"",""0"""
"26.06.2021 05:30 - 26.06.2021 05:45,""1000"",""1000"",""0"",""0"""
"26.06.2021 05:45 - 26.06.2021 06:00,""1000"",""1000"",""0"",""0"""
"26.06.2021 06:00 - 26.06.2021 06:15,""0"",""305"",""81"",""100"""
"26.06.2021 06:15 - 26.06.2021 06:30,""0"",""333"",""81"",""139"""
"26.06.2021 06:30 - 26.06.2021 06:45,""0"",""343"",""81"",""140"""
"26.06.2021 06:45 - 26.06.2021 07:00,""0"",""355"",""81"",""139"""
"26.06.2021 07:00 - 26.06.2021 07:15,""0"",""596"",""245"",""468"""
"26.06.2021 07:15 - 26.06.2021 07:30,""0"",""581"",""245"",""473"""
"26.06.2021 07:30 - 26.06.2021 07:45,""0"",""590"",""245"",""473"""
"26.06.2021 07:45 - 26.06.2021 08:00,""0"",""582"",""245"",""473"""
"26.06.2021 08:00 - 26.06.2021 08:15,""0"",""895"",""351"",""622"""
"26.06.2021 08:15 - 26.06.2021 08:30,""0"",""861"",""351"",""627"""
"26.06.2021 08:30 - 26.06.2021 08:45,""0"",""880"",""351"",""619"""
"26.06.2021 08:45 - 26.06.2021 09:00,""0"",""965"",""351"",""626"""
"26.06.2021 09:00 - 26.06.2021 09:15,""0"",""910"",""433"",""608"""
"26.06.2021 09:15 - 26.06.2021 09:30,""0"",""949"",""433"",""610"""
"26.06.2021 09:30 - 26.06.2021 09:45,""0"",""939"",""433"",""607"""
"26.06.2021 09:45 - 26.06.2021 10:00,""0"",""929"",""433"",""610"""
"26.06.2021 10:00 - 26.06.2021 10:15,""0"",""854"",""585"",""676"""
"26.06.2021 10:15 - 26.06.2021 10:30,""0"",""849"",""585"",""676"""
"26.06.2021 10:30 - 26.06.2021 10:45,""0"",""892"",""585"",""672"""
"26.06.2021 10:45 - 26.06.2021 11:00,""0"",""980"",""585"",""724"""
"26.06.2021 11:00 - 26.06.2021 11:15,""0"",""676"",""347"",""528"""
"26.06.2021 11:15 - 26.06.2021 11:30,""0"",""711"",""347"",""528"""
"26.06.2021 11:30 - 26.06.2021 11:45,""0"",""747"",""347"",""526"""
"26.06.2021 11:45 - 26.06.2021 12:00,""0"",""780"",""347"",""522"""
"26.06.2021 12:00 - 26.06.2021 12:15,""0"",""527"",""28"",""87"""
"26.06.2021 12:15 - 26.06.2021 12:30,""0"",""538"",""28"",""78"""
"26.06.2021 12:30 - 26.06.2021 12:45,""0"",""556"",""28"",""73"""
"26.06.2021 12:45 - 26.06.2021 13:00,""0"",""556"",""28"",""72"""
"26.06.2021 13:00 - 26.06.2021 13:15,""187"",""626"",""0"",""74"""
"26.06.2021 13:15 - 26.06.2021 13:30,""187"",""630"",""0"",""71"""
"26.06.2021 13:30 - 26.06.2021 13:45,""187"",""613"",""0"",""77"""
"26.06.2021 13:45 - 26.06.2021 14:00,""187"",""618"",""0"",""66"""
"26.06.2021 14:00 - 26.06.2021 14:15,""770"",""770"",""0"",""0"""
"26.06.2021 14:15 - 26.06.2021 14:30,""770"",""770"",""0"",""0"""
"26.06.2021 14:30 - 26.06.2021 14:45,""770"",""771"",""0"",""1"""
"26.06.2021 14:45 - 26.06.2021 15:00,""770"",""775"",""0"",""5"""
"26.06.2021 15:00 - 26.06.2021 15:15,""1000"",""1000"",""0"",""0"""
"26.06.2021 15:15 - 26.06.2021 15:30,""1000"",""1000"",""0"",""0"""
"26.06.2021 15:30 - 26.06.2021 15:45,""1000"",""1000"",""0"",""0"""
"26.06.2021 15:45 - 26.06.2021 16:00,""1000"",""1000"",""0"",""0"""
"26.06.2021 16:00 - 26.06.2021 16:15,""1000"",""1006"",""0"",""6"""
"26.06.2021 16:15 - 26.06.2021 16:30,""1000"",""1004"",""0"",""6"""
"26.06.2021 16:30 - 26.06.2021 16:45,""1000"",""1000"",""0"",""29"""
"26.06.2021 16:45 - 26.06.2021 17:00,""1000"",""1000"",""0"",""29"""
"26.06.2021 17:00 - 26.06.2021 17:15,""1000"",""1000"",""0"",""0"""
"26.06.2021 17:15 - 26.06.2021 17:30,""1000"",""1000"",""0"",""0"""
"26.06.2021 17:30 - 26.06.2021 17:45,""1000"",""1000"",""0"",""0"""
"26.06.2021 17:45 - 26.06.2021 18:00,""1000"",""1000"",""0"",""0"""
"26.06.2021 18:00 - 26.06.2021 18:15,""1000"",""1000"",""0"",""0"""
"26.06.2021 18:15 - 26.06.2021 18:30,""1000"",""1000"",""0"",""0"""
"26.06.2021 18:30 - 26.06.2021 18:45,""1000"",""1000"",""0"",""0"""
"26.06.2021 18:45 - 26.06.2021 19:00,""1000"",""1000"",""0"",""0"""
"26.06.2021 19:00 - 26.06.2021 19:15,""1000"",""1000"",""0"",""0"""
"26.06.2021 19:15 - 26.06.2021 19:30,""1000"",""1000"",""0"",""0"""
"26.06.2021 19:30 - 26.06.2021 19:45,""1000"",""1000"",""0"",""0"""
"26.06.2021 19:45 - 26.06.2021 20:00,""1000"",""1000"",""0"",""0"""
"26.06.2021 20:00 - 26.06.2021 20:15,""0"",""15"",""47"",""141"""
"26.06.2021 20:15 - 26.06.2021 20:30,""0"",""11"",""47"",""145"""
"26.06.2021 20:30 - 26.06.2021 20:45,""0"",""11"",""47"",""112"""
"26.06.2021 20:45 - 26.06.2021 21:00,""0"",""11"",""47"",""114"""
"26.06.2021 21:00 - 26.06.2021 21:15,""0"",""246"",""227"",""453"""
"26.06.2021 21:15 - 26.06.2021 21:30,""0"",""254"",""227"",""447"""
"26.06.2021 21:30 - 26.06.2021 21:45,""0"",""295"",""227"",""445"""
"26.06.2021 21:45 - 26.06.2021 22:00,""0"",""349"",""227"",""424"""
"26.06.2021 22:00 - 26.06.2021 22:15,""0"",""56"",""145"",""145"""
"26.06.2021 22:15 - 26.06.2021 22:30,""0"",""45"",""145"",""145"""
"26.06.2021 22:30 - 26.06.2021 22:45,""0"",""55"",""145"",""145"""
"26.06.2021 22:45 - 26.06.2021 23:00,""0"",""22"",""145"",""148"""
"26.06.2021 23:00 - 26.06.2021 23:15,""0"",""78"",""155"",""218"""
"26.06.2021 23:15 - 26.06.2021 23:30,""0"",""82"",""155"",""241"""
"26.06.2021 23:30 - 26.06.2021 23:45,""0"",""95"",""155"",""244"""
"26.06.2021 23:45 - 27.06.2021 00:00,""0"",""87"",""155"",""196"""
"27.06.2021 00:00 - 27.06.2021 00:15,""0"",""176"",""54"",""68"""
"27.06.2021 00:15 - 27.06.2021 00:30,""0"",""171"",""54"",""69"""
"27.06.2021 00:30 - 27.06.2021 00:45,""0"",""175"",""54"",""68"""
"27.06.2021 00:45 - 27.06.2021 01:00,""0"",""173"",""54"",""56"""
"27.06.2021 01:00 - 27.06.2021 01:15,""1000"",""1000"",""0"",""0"""
"27.06.2021 01:15 - 27.06.2021 01:30,""1000"",""1000"",""0"",""0"""
"27.06.2021 01:30 - 27.06.2021 01:45,""1000"",""1000"",""0"",""0"""
"27.06.2021 01:45 - 27.06.2021 02:00,""1000"",""1000"",""0"",""0"""
"27.06.2021 02:00 - 27.06.2021 02:15,""1000"",""1000"",""0"",""0"""
"27.06.2021 02:15 - 27.06.2021 02:30,""1000"",""1000"",""0"",""0"""
"27.06.2021 02:30 - 27.06.2021 02:45,""1000"",""1000"",""0"",""0"""
"27.06.2021 02:45 - 27.06.2021 03:00,""1000"",""1000"",""0"",""0"""
"27.06.2021 03:00 - 27.06.2021 03:15,""1000"",""1000"",""0"",""0"""
"27.06.2021 03:15 - 27.06.2021 03:30,""1000"",""1000"",""0"",""0"""
"27.06.2021 03:30 - 27.06.2021 03:45,""1000"",""1000"",""0"",""0"""
"27.06.2021 03:45 - 27.06.2021 04:00,""1000"",""1000"",""0"",""0"""
"27.06.2021 04:00 - 27.06.2021 04:15,""1000"",""1000"",""0"",""0"""
"27.06.2021 04:15 - 27.06.2021 04:30,""1000"",""1000"",""0"",""0"""
"27.06.2021 04:30 - 27.06.2021 04:45,""1000"",""1000"",""0"",""0"""
"27.06.2021 04:45 - 27.06.2021 05:00,""1000"",""1000"",""0"",""0"""
"27.06.2021 05:00 - 27.06.2021 05:15,""1000"",""1000"",""0"",""0"""
"27.06.2021 05:15 - 27.06.2021 05:30,""1000"",""1000"",""0"",""0"""
"27.06.2021 05:30 - 27.06.2021 05:45,""1000"",""1000"",""0"",""0"""
"27.06.2021 05:45 - 27.06.2021 06:00,""1000"",""1000"",""0"",""0"""
"27.06.2021 06:00 - 27.06.2021 06:15,""390"",""545"",""0"",""27"""
"27.06.2021 06:15 - 27.06.2021 06:30,""390"",""539"",""0"",""28"""
"27.06.2021 06:30 - 27.06.2021 06:45,""390"",""539"",""0"",""21"""
"27.06.2021 06:45 - 27.06.2021 07:00,""390"",""541"",""0"",""18"""
"27.06.2021 07:00 - 27.06.2021 07:15,""504"",""607"",""0"",""197"""
"27.06.2021 07:15 - 27.06.2021 07:30,""504"",""614"",""0"",""151"""
"27.06.2021 07:30 - 27.06.2021 07:45,""504"",""625"",""0"",""123"""
"27.06.2021 07:45 - 27.06.2021 08:00,""504"",""628"",""0"",""128"""
"27.06.2021 08:00 - 27.06.2021 08:15,""474"",""596"",""0"",""577"""
"27.06.2021 08:15 - 27.06.2021 08:30,""474"",""586"",""0"",""509"""
"27.06.2021 08:30 - 27.06.2021 08:45,""474"",""603"",""0"",""495"""
"27.06.2021 08:45 - 27.06.2021 09:00,""474"",""618"",""0"",""484"""
"27.06.2021 09:00 - 27.06.2021 09:15,""483"",""592"",""0"",""637"""
"27.06.2021 09:15 - 27.06.2021 09:30,""483"",""593"",""0"",""635"""
"27.06.2021 09:30 - 27.06.2021 09:45,""483"",""595"",""0"",""621"""
"27.06.2021 09:45 - 27.06.2021 10:00,""483"",""597"",""0"",""625"""
"27.06.2021 10:00 - 27.06.2021 10:15,""377"",""462"",""0"",""821"""
"27.06.2021 10:15 - 27.06.2021 10:30,""377"",""464"",""0"",""797"""
"27.06.2021 10:30 - 27.06.2021 10:45,""377"",""470"",""0"",""781"""
"27.06.2021 10:45 - 27.06.2021 11:00,""377"",""464"",""0"",""778"""
"27.06.2021 11:00 - 27.06.2021 11:15,""428"",""535"",""0"",""746"""
"27.06.2021 11:15 - 27.06.2021 11:30,""428"",""551"",""0"",""690"""
"27.06.2021 11:30 - 27.06.2021 11:45,""428"",""563"",""0"",""669"""
"27.06.2021 11:45 - 27.06.2021 12:00,""428"",""553"",""0"",""671"""
"27.06.2021 12:00 - 27.06.2021 12:15,""600"",""676"",""0"",""254"""
"27.06.2021 12:15 - 27.06.2021 12:30,""600"",""677"",""0"",""246"""
"27.06.2021 12:30 - 27.06.2021 12:45,""600"",""677"",""0"",""227"""
"27.06.2021 12:45 - 27.06.2021 13:00,""600"",""677"",""0"",""230"""
"27.06.2021 13:00 - 27.06.2021 13:15,""710"",""714"",""0"",""848"""
"27.06.2021 13:15 - 27.06.2021 13:30,""710"",""722"",""0"",""855"""
"27.06.2021 13:30 - 27.06.2021 13:45,""710"",""732"",""0"",""879"""
"27.06.2021 13:45 - 27.06.2021 14:00,""710"",""719"",""0"",""885"""
"27.06.2021 14:00 - 27.06.2021 14:15,""945"",""1128"",""0"",""319"""
"27.06.2021 14:15 - 27.06.2021 14:30,""945"",""1131"",""0"",""418"""
"27.06.2021 14:30 - 27.06.2021 14:45,""945"",""1126"",""0"",""535"""
"27.06.2021 14:45 - 27.06.2021 15:00,""945"",""1114"",""0"",""684"""
"27.06.2021 15:00 - 27.06.2021 15:15,""1000"",""1007"",""0"",""447"""
"27.06.2021 15:15 - 27.06.2021 15:30,""1000"",""1007"",""0"",""467"""
"27.06.2021 15:30 - 27.06.2021 15:45,""1000"",""1005"",""0"",""533"""
"27.06.2021 15:45 - 27.06.2021 16:00,""1000"",""1005"",""0"",""612"""
"27.06.2021 16:00 - 27.06.2021 16:15,""919"",""921"",""0"",""22"""
"27.06.2021 16:15 - 27.06.2021 16:30,""919"",""921"",""0"",""105"""
"27.06.2021 16:30 - 27.06.2021 16:45,""919"",""921"",""0"",""120"""
"27.06.2021 16:45 - 27.06.2021 17:00,""919"",""924"",""0"",""307"""
"27.06.2021 17:00 - 27.06.2021 17:15,""866"",""866"",""0"",""25"""
"27.06.2021 17:15 - 27.06.2021 17:30,""866"",""866"",""0"",""74"""
"27.06.2021 17:30 - 27.06.2021 17:45,""866"",""866"",""0"",""89"""
"27.06.2021 17:45 - 27.06.2021 18:00,""866"",""866"",""0"",""102"""
"27.06.2021 18:00 - 27.06.2021 18:15,""873"",""884"",""0"",""17"""
"27.06.2021 18:15 - 27.06.2021 18:30,""873"",""884"",""0"",""43"""
"27.06.2021 18:30 - 27.06.2021 18:45,""873"",""884"",""0"",""44"""
"27.06.2021 18:45 - 27.06.2021 19:00,""873"",""880"",""0"",""45"""
"27.06.2021 19:00 - 27.06.2021 19:15,""1000"",""1000"",""0"",""46"""
"27.06.2021 19:15 - 27.06.2021 19:30,""1000"",""1000"",""0"",""42"""
"27.06.2021 19:30 - 27.06.2021 19:45,""1000"",""1000"",""0"",""44"""
"27.06.2021 19:45 - 27.06.2021 20:00,""1000"",""1000"",""0"",""42"""
"27.06.2021 20:00 - 27.06.2021 20:15,""478"",""511"",""0"",""33"""
"27.06.2021 20:15 - 27.06.2021 20:30,""478"",""509"",""0"",""49"""
"27.06.2021 20:30 - 27.06.2021 20:45,""478"",""514"",""0"",""42"""
"27.06.2021 20:45 - 27.06.2021 21:00,""478"",""514"",""0"",""36"""
"27.06.2021 21:00 - 27.06.2021 21:15,""0"",""926"",""285"",""625"""
"27.06.2021 21:15 - 27.06.2021 21:30,""0"",""958"",""285"",""632"""
"27.06.2021 21:30 - 27.06.2021 21:45,""0"",""973"",""285"",""619"""
"27.06.2021 21:45 - 27.06.2021 22:00,""0"",""1003"",""285"",""607"""
"27.06.2021 22:00 - 27.06.2021 22:15,""0"",""330"",""1"",""1"""
"27.06.2021 22:15 - 27.06.2021 22:30,""0"",""316"",""1"",""1"""
"27.06.2021 22:30 - 27.06.2021 22:45,""0"",""286"",""1"",""1"""
"27.06.2021 22:45 - 27.06.2021 23:00,""0"",""315"",""1"",""1"""
"27.06.2021 23:00 - 27.06.2021 23:15,""169"",""552"",""0"",""8"""
"27.06.2021 23:15 - 27.06.2021 23:30,""169"",""552"",""0"",""8"""
"27.06.2021 23:30 - 27.06.2021 23:45,""169"",""553"",""0"",""5"""
"27.06.2021 23:45 - 28.06.2021 00:00,""169"",""573"",""0"",""6"""
"28.06.2021 00:00 - 28.06.2021 00:15,""207"",""438"",""0"",""102"""
"28.06.2021 00:15 - 28.06.2021 00:30,""207"",""438"",""0"",""96"""
"28.06.2021 00:30 - 28.06.2021 00:45,""207"",""438"",""0"",""95"""
"28.06.2021 00:45 - 28.06.2021 01:00,""207"",""438"",""0"",""96"""
"28.06.2021 01:00 - 28.06.2021 01:15,""928"",""933"",""0"",""5"""
"28.06.2021 01:15 - 28.06.2021 01:30,""928"",""933"",""0"",""9"""
"28.06.2021 01:30 - 28.06.2021 01:45,""928"",""933"",""0"",""6"""
"28.06.2021 01:45 - 28.06.2021 02:00,""928"",""933"",""0"",""5"""
"28.06.2021 02:00 - 28.06.2021 02:15,""1000"",""1000"",""0"",""0"""
"28.06.2021 02:15 - 28.06.2021 02:30,""1000"",""1000"",""0"",""0"""
"28.06.2021 02:30 - 28.06.2021 02:45,""1000"",""1000"",""0"",""0"""
