"Time (UTC),""Belgium (BE) > Germany (DE) Day Ahead [MW]"",""Belgium (BE) > Germany (DE) Total [MW]"",""Germany (DE) > Belgium (BE) Day Ahead [MW]"",""Germany (DE) > Belgium (BE) Total [MW]"""
"02.01.2021 13:00 - 02.01.2021 13:15,""0"",""188"",""161"",""352"""
"02.01.2021 13:15 - 02.01.2021 13:30,""0"",""189"",""161"",""356"""
"02.01.2021 13:30 - 02.01.2021 13:45,""0"",""189"",""161"",""360"""
"02.01.2021 13:45 - 02.01.2021 14:00,""0"",""189"",""161"",""371"""
"02.01.2021 14:00 - 02.01.2021 14:15,""0"",""192"",""93"",""249"""
"02.01.2021 14:15 - 02.01.2021 14:30,""0"",""193"",""93"",""251"""
"02.01.2021 14:30 - 02.01.2021 14:45,""0"",""183"",""93"",""254"""
"02.01.2021 14:45 - 02.01.2021 15:00,""0"",""174"",""93"",""255"""
"02.01.2021 15:00 - 02.01.2021 15:15,""0"",""270"",""3"",""95"""
"02.01.2021 15:15 - 02.01.2021 15:30,""0"",""202"",""3"",""130"""
"02.01.2021 15:30 - 02.01.2021 15:45,""0"",""134"",""3"",""158"""
"02.01.2021 15:45 - 02.01.2021 16:00,""0"",""52"",""3"",""204"""
"02.01.2021 16:00 - 02.01.2021 16:15,""0"",""131"",""281"",""695"""
"02.01.2021 16:15 - 02.01.2021 16:30,""0"",""108"",""281"",""715"""
"02.01.2021 16:30 - 02.01.2021 16:45,""0"",""108"",""281"",""712"""
"02.01.2021 16:45 - 02.01.2021 17:00,""0"",""137"",""281"",""721"""
"02.01.2021 17:00 - 02.01.2021 17:15,""0"",""234"",""463"",""907"""
"02.01.2021 17:15 - 02.01.2021 17:30,""0"",""230"",""463"",""888"""
"02.01.2021 17:30 - 02.01.2021 17:45,""0"",""256"",""463"",""884"""
"02.01.2021 17:45 - 02.01.2021 18:00,""0"",""260"",""463"",""884"""
"02.01.2021 18:00 - 02.01.2021 18:15,""0"",""36"",""702"",""865"""
"02.01.2021 18:15 - 02.01.2021 18:30,""0"",""63"",""702"",""860"""
"02.01.2021 18:30 - 02.01.2021 18:45,""0"",""91"",""702"",""895"""
"02.01.2021 18:45 - 02.01.2021 19:00,""0"",""111"",""702"",""895"""
"02.01.2021 19:00 - 02.01.2021 19:15,""0"",""85"",""632"",""863"""
"02.01.2021 19:15 - 02.01.2021 19:30,""0"",""85"",""632"",""862"""
"02.01.2021 19:30 - 02.01.2021 19:45,""0"",""135"",""632"",""858"""
"02.01.2021 19:45 - 02.01.2021 20:00,""0"",""138"",""632"",""858"""
"02.01.2021 20:00 - 02.01.2021 20:15,""0"",""6"",""635"",""784"""
"02.01.2021 20:15 - 02.01.2021 20:30,""0"",""2"",""635"",""780"""
"02.01.2021 20:30 - 02.01.2021 20:45,""0"",""64"",""635"",""838"""
"02.01.2021 20:45 - 02.01.2021 21:00,""0"",""52"",""635"",""830"""
"02.01.2021 21:00 - 02.01.2021 21:15,""0"",""11"",""841"",""902"""
"02.01.2021 21:15 - 02.01.2021 21:30,""0"",""11"",""841"",""902"""
"02.01.2021 21:30 - 02.01.2021 21:45,""0"",""11"",""841"",""897"""
"02.01.2021 21:45 - 02.01.2021 22:00,""0"",""15"",""841"",""901"""
"02.01.2021 22:00 - 02.01.2021 22:15,""0"",""17"",""964"",""980"""
"02.01.2021 22:15 - 02.01.2021 22:30,""0"",""16"",""964"",""979"""
"02.01.2021 22:30 - 02.01.2021 22:45,""0"",""30"",""964"",""993"""
"02.01.2021 22:45 - 02.01.2021 23:00,""0"",""27"",""964"",""990"""
"02.01.2021 23:00 - 02.01.2021 23:15,""0"",""0"",""1000"",""1000"""
"02.01.2021 23:15 - 02.01.2021 23:30,""0"",""0"",""1000"",""1000"""
"02.01.2021 23:30 - 02.01.2021 23:45,""0"",""0"",""1000"",""1000"""
"02.01.2021 23:45 - 03.01.2021 00:00,""0"",""0"",""1000"",""1000"""
"03.01.2021 00:00 - 03.01.2021 00:15,""0"",""0"",""1000"",""1000"""
"03.01.2021 00:15 - 03.01.2021 00:30,""0"",""0"",""1000"",""1000"""
"03.01.2021 00:30 - 03.01.2021 00:45,""0"",""0"",""1000"",""1000"""
